"","richness","Dispersal","Date2","Salinity_real","lower","upper","mean_rich"
"77",584.518574611918,3,18,12,523.010212313017,650.655930207407,584.518574611918
"78",663.853280915065,2,18,12,582.04708094467,751.872593487365,663.853280915065
"79",663.481940194706,3,0,13,585.424177084491,755.792581903728,663.481940194706
"80",770.888350066373,2,0,13,665.340789519536,882.409901620386,770.888350066373
"81",471.811342481886,3,45,13,381.545634927605,571.497364463889,471.811342481886
"82",548.189551688063,2,45,13,435.988268339088,670.839690537796,548.189551688063
"83",578.90168609419,3,18,13,512.240263940906,653.405996837521,578.90168609419
"84",672.61599541478,2,18,13,581.215079910443,766.972738480342,672.61599541478
"85",672.296437681601,3,0,14,584.735483152245,776.692055102312,672.296437681601
"86",799.119583375641,2,0,14,679.909751324476,926.775298501923,799.119583375641
"87",451.530473539946,3,45,14,357.466256606258,555.83138043995,451.530473539946
"88",536.707951541364,2,45,14,416.535408646722,667.155415550516,536.707951541364
"89",573.338772656109,3,18,14,500.754753493771,658.785040442696,573.338772656109
"90",681.494375781653,2,18,14,580.384269125182,786.61217847299,681.494375781653
"91",681.228037626361,3,0,15,582.19912729896,798.295418034889,681.228037626361
"92",828.384692127563,2,0,15,698.637140585438,973.715936383281,828.384692127563
"93",432.121380259177,3,45,15,335.738387188095,543.336013335988,432.121380259177
"94",525.466828692203,2,45,15,396.242147983664,676.467764196539,525.466828692203
"95",567.829315628095,3,18,15,489.469424384154,660.432198871618,567.829315628095
"96",690.489948779205,2,18,15,576.395479791903,808.897235685017,690.489948779205
