"","richness","Dispersal","Day","Salinity_Measured","lower","upper"
"1756",4.51639377509255,2,9,7.3,3.98665104908116,5.07700001751346
"1757",4.68158464844687,3,18,7.3,4.13754340528974,5.14268054824051
"1758",4.45092921440493,2,18,7.3,3.96786640524077,4.9322219532687
"1759",4.6137256667915,3,27,7.3,4.07519496319974,5.11422769744666
"1760",4.38641355430469,2,27,7.3,3.91980385886616,4.83865036744043
"1761",4.54685029255478,3,36,7.3,3.96582179973666,5.10611950000253
"1762",4.32283304059697,2,36,7.3,3.82262031671504,4.82558380435554
"1763",4.4809442684707,3,45,7.3,3.83989164452583,5.14742840962232
"1764",4.26017411845221,2,45,7.3,3.67613139366659,4.85623478525437
"1765",4.81340665631615,3,0,7.35,4.11154278660911,5.41460684035204
"1766",4.57777686256607,2,0,7.35,3.99270032662003,5.31013961691965
"1767",4.74394915459789,3,9,7.35,4.12418692012249,5.24747707361935
"1768",4.51171950090927,2,9,7.35,3.98289895713924,5.07507283752601
"1769",4.67549392525953,3,18,7.35,4.12948350311508,5.13982458096893
"1770",4.44661534758045,2,18,7.35,3.96323293687794,4.92585526566759
"1771",4.60802650550157,3,27,7.35,4.0669978316246,5.11039149409562
"1772",4.3824506477748,2,27,7.35,3.91400154249435,4.83517649759452
"1773",4.54153264122278,3,36,7.35,3.96196333499673,5.10206930691554
"1774",4.31921184516945,2,36,7.35,3.81636063090114,4.82844898923092
"1775",4.47599828400877,3,45,7.35,3.83324332761335,5.14566636372672
"1776",4.2568855790594,2,45,7.35,3.66883793176738,4.85471425101966
"1777",4.80651168885505,3,0,7.4,4.10607486579056,5.40709897671166
"1778",4.5727380845874,2,0,7.4,3.99087219443015,5.3074992598662
"1779",4.7374654782456,3,9,7.4,4.1154761569111,5.24198479822067
"1780",4.50705006439963,2,9,7.4,3.97915041628759,5.07314644652361
"1781",4.66941112607907,3,18,7.4,4.12143931241888,5.13697031185691
"1782",4.44230566178111,2,18,7.4,3.95860491382218,4.91949681473837
"1783",4.60233438417061,3,27,7.4,4.05847543317445,5.10655818534322
"1784",4.37849132153389,2,27,7.4,3.90820784805516,4.83170512389499
"1785",4.53622120901255,3,36,7.4,3.95810868155065,5.09802239542132
"1786",4.31559368318231,2,36,7.4,3.81028695152823,4.83131623914385
"1787",4.47105775883417,3,45,7.4,3.82660653905197,5.14390492150968
"1788",4.25359957817582,2,45,7.4,3.66155894468164,4.85319438846333
"1789",4.79962659809451,3,0,7.45,4.10061422057781,5.39968686797289
"1790",4.56770485281254,2,0,7.45,3.98609978543461,5.30486021569252
"1791",4.73099066329923,3,9,7.45,4.10745930912476,5.23647176266927
"1792",4.50238546055686,2,9,7.45,3.97540542313839,5.06966780994003
"1793",4.66333624059638,3,18,7.45,4.11448076625282,5.12957832297338
"1794",4.43800015295465,2,18,7.45,3.95398232961431,4.91314658980832
"1795",4.59664929410243,3,27,7.45,4.04997090808833,5.10264245027548
"1796",4.37453557234736,2,27,7.45,3.90242276270663,4.82823624454646
"1797",4.53091598865069,3,36,7.45,3.95426277713989,5.09407351669124
"1798",4.31197855209448,2,36,7.45,3.80409126981731,4.83103523678544
"1799",4.46612268692105,3,45,7.45,3.81998125882809,5.1421440827642
"1800",4.25031611384194,2,45,7.45,3.65429440367418,4.85482830527007
"1801",4.79275136988667,3,0,7.5,4.09373747496576,5.3922849405911
"1802",4.56267716113678,2,0,7.5,3.97999370290264,5.30222248374579
"1803",4.72452469764764,3,9,7.5,4.09945812132751,5.22978200589968
"1804",4.49772568437934,2,9,7.5,3.97166397430709,5.06537673471226
"1805",4.65726925851577,3,18,7.5,4.107748445123,5.12212564157078
"1806",4.43369881705272,2,18,7.5,3.94936517780289,4.90680458021859
"1807",4.59097122661157,3,27,7.5,4.04148421885647,5.09866895632788
"1808",4.37058339698353,2,27,7.5,3.89664627362597,4.82476985775483
"1809",4.5256169728723,3,36,7.5,3.95050537416234,5.09035924017466
"1810",4.30836644936699,2,36,7.5,3.79790568884881,4.83226647650692
"1811",4.46119306225019,3,45,7.5,3.814502540976,5.14038384728331
"1812",4.24703518409972,2,45,7.5,3.64704428006688,4.85796363868234
"1813",4.78588599010389,3,0,7.55,4.08597060451331,5.38471184903005
"1814",4.5576550034621,2,0,7.55,3.97389697453681,5.29958606337352
"1815",4.71806756919629,3,9,7.55,4.09147256281804,5.21965442168698
"1816",4.49307073087066,2,9,7.55,3.9679260664124,5.05969052199341
"1817",4.65121016955496,3,18,7.55,4.10110643077389,5.11468389976876
"1818",4.4294016500309,2,18,7.55,3.94475345194426,4.9014628668161
"1819",4.58530017302331,3,27,7.55,4.03301532804788,5.09469863102109
"1820",4.36663479221361,2,27,7.55,3.89228405677485,4.82130596172731
"1821",4.52032415442095,3,36,7.55,3.94675154341441,5.08664772918309
